"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 02 16:34:30 GMT 2024","Wed Oct 02 16:34:30 GMT 2024","73","step_definitions","test_get_employee_data","","","","test_get_all_user_data","/home/runner/work/github-action-with-allure-report/github-action-with-allure-report/tests/features/get_user_data.feature: Get all user data"
"passed","Wed Oct 02 16:34:30 GMT 2024","Wed Oct 02 16:34:30 GMT 2024","249","step_definitions","test_get_employee_data","","","","test_get_a_single_user_data","/home/runner/work/github-action-with-allure-report/github-action-with-allure-report/tests/features/get_user_data.feature: Get a single user data"
